exam_year_roc,exam_year_ad,exam_code,exam_name,exam_stage,candidate_scope,paper_id,paper_order,paper_code,paper_group,paper_title,included_subjects,duration_minutes,expected_question_count,points_per_question,max_score,source_question_url,source_answer_url,official_exam_page_url
105,2016,105110,105年公務人員特種考試司法官考試（第一試）及105年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,105-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=105110&y=2016
105,2016,105110,105年公務人員特種考試司法官考試（第一試）及105年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,105-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,74,2.162162,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=105110&y=2016
105,2016,105110,105年公務人員特種考試司法官考試（第一試）及105年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,105-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=105110&y=2016
105,2016,105110,105年公務人員特種考試司法官考試（第一試）及105年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,105-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0401&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=105110&y=2016
106,2017,106120,106年公務人員特種考試司法官考試（第一試）及106年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,106-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=106120&y=2017
106,2017,106120,106年公務人員特種考試司法官考試（第一試）及106年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,106-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,74,2.162162,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=106120&y=2017
106,2017,106120,106年公務人員特種考試司法官考試（第一試）及106年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,106-4301,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法|保險法|票據法|證券交易法|強制執行法|法學英文,80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0301&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=106120&y=2017
106,2017,106120,106年公務人員特種考試司法官考試（第一試）及106年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,106-1301,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法|刑事訴訟法|法律倫理,90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0401&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=106120&y=2017
107,2018,107120,107年公務人員特種考試司法官考試（第一試）及107年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,107-2301,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法|行政法|國際公法|國際私法,90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0101&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=107120&y=2018
107,2018,107120,107年公務人員特種考試司法官考試（第一試）及107年專門職業及技術人員高等考試律師考試（第一試）,第一試,司法官及律師,107-3301,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,民法|民事訴訟法,100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0201&t=S,https://wwwq.moex.gov.tw/exam/wFrmExamQandASearch.aspx?e=107120&y=2018
